SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;18;Friday;17.01.2020;20:30;Schalke;Gladbach;2,5;3,5;2,75;2;0;5;2;257;347;272;237,93;312;14;5;0;0;5;4;0
2019;2020;18;Saturday;18.01.2020;15:30;Hoffenheim;Frankfurt;2,35;3,6;2,85;1;2;7;13;234;371;285;237,63;216,8;9;7;0;0;6;0;0
2019;2020;18;Saturday;18.01.2020;15:30;Duesseldorf;Bremen;2,6;3,6;2,5;0;1;16;17;269;361;251;88,95;180,6;10;8;0;0;3;0;0
2019;2020;18;Saturday;18.01.2020;15:30;Mainz;Freiburg;2,2;3,5;3,2;1;2;14;8;222;352;321;144,4;148,4;12;13;0;0;3;1;0
2019;2020;18;Saturday;18.01.2020;15:30;Augsburg;Dortmund;5;4,3;1,6;3;5;10;4;481;431;165;132,05;640,4;15;2;0;0;6;4;0
2019;2020;18;Saturday;18.01.2020;15:30;Koeln;Wolfsburg;2,75;3,4;2,55;3;1;15;9;273;335;262;93,95;229,45;16;6;1;0;9;4;0
2019;2020;18;Saturday;18.01.2020;18:30;Leipzig;Union;1,28;5,8;10;3;1;1;11;129;583;1028;563,4;39,7;3;18;0;1;7;1;0
2019;2020;18;Sunday;19.01.2020;15:30;Hertha;Bayern;9;5,8;1,3;0;4;12;3;879;563;132;205,7;893,65;11;1;0;0;7;9;0
2019;2020;18;Sunday;19.01.2020;18:00;Paderborn;Leverkusen;4,8;4,5;1,6;1;4;18;6;491;447;161;31,05;439,75;17;4;1;0;4;3;0
